system:index,date,rainfall_mm,.geo
19810808,1981-08-08,2.5727503471311897,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810809,1981-08-09,3.017477883328404,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810810,1981-08-10,6.9480057237077775,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810811,1981-08-11,4.897889309078468,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810812,1981-08-12,4.378032804188477,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810813,1981-08-13,8.062660318341289,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810814,1981-08-14,3.199419505807709,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810815,1981-08-15,2.9001878143154016,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810816,1981-08-16,3.043095652729666,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810817,1981-08-17,2.102986185324312,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810818,1981-08-18,10.099364013587605,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810819,1981-08-19,12.77119332955367,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810820,1981-08-20,10.52832000951475,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810821,1981-08-21,0.8349079255879974,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810822,1981-08-22,7.046257553809408,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810823,1981-08-23,1.8644954171510895,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810824,1981-08-24,1.8006792728735876,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810825,1981-08-25,4.815637067778314,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810826,1981-08-26,1.3516399049168821,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810827,1981-08-27,4.7212046631347855,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810828,1981-08-28,5.408189964914974,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810829,1981-08-29,4.16860204476544,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810830,1981-08-30,2.677243645020122,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810831,1981-08-31,3.593965195387598,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810901,1981-09-01,5.42467868277064,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810902,1981-09-02,2.2638837965327165,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810903,1981-09-03,4.272876905578962,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810904,1981-09-04,6.128303161408471,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810905,1981-09-05,5.365366897153587,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810906,1981-09-06,2.8939472658452616,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810907,1981-09-07,2.7358483388289536,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810908,1981-09-08,8.723860952987756,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810909,1981-09-09,5.993194094574227,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810910,1981-09-10,2.482374005515544,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810911,1981-09-11,4.141087835488738,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810912,1981-09-12,2.53602963888424,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810913,1981-09-13,3.5914347584820443,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810914,1981-09-14,6.183327848592651,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810915,1981-09-15,4.864854918032202,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810916,1981-09-16,10.760542463556977,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810917,1981-09-17,3.6125007204351522,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810918,1981-09-18,4.9129850553942225,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810919,1981-09-19,5.383269654301926,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810920,1981-09-20,5.325590929164659,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810921,1981-09-21,3.1477346847626273,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810922,1981-09-22,3.483766268708087,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810923,1981-09-23,10.05975995162485,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810924,1981-09-24,15.9443818441555,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810925,1981-09-25,6.9458356876695175,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810926,1981-09-26,0.9541400831110093,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810927,1981-09-27,2.441388161190062,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810928,1981-09-28,3.801374429653374,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810929,1981-09-29,2.430584892726321,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810930,1981-09-30,3.9717277514138063,"{""type"":""MultiPoint"",""coordinates"":[]}"
19811001,1981-10-01,5.317499785657151,"{""type"":""MultiPoint"",""coordinates"":[]}"
19811002,1981-10-02,3.483412078943343,"{""type"":""MultiPoint"",""coordinates"":[]}"
19811003,1981-10-03,1.4312662637645142,"{""type"":""MultiPoint"",""coordinates"":[]}"
19811004,1981-10-04,2.6128789601151503,"{""type"":""MultiPoint"",""coordinates"":[]}"
19811005,1981-10-05,4.334163277535072,"{""type"":""MultiPoint"",""coordinates"":[]}"
19811006,1981-10-06,2.8313430309448715,"{""type"":""MultiPoint"",""coordinates"":[]}"
19811007,1981-10-07,1.7650099707050269,"{""type"":""MultiPoint"",""coordinates"":[]}"
19811008,1981-10-08,4.666051635995652,"{""type"":""MultiPoint"",""coordinates"":[]}"
19811009,1981-10-09,1.9156961667175751,"{""type"":""MultiPoint"",""coordinates"":[]}"
19811010,1981-10-10,2.361665351099556,"{""type"":""MultiPoint"",""coordinates"":[]}"
19811011,1981-10-11,4.317043232923776,"{""type"":""MultiPoint"",""coordinates"":[]}"
19811012,1981-10-12,5.911032678767818,"{""type"":""MultiPoint"",""coordinates"":[]}"
19811013,1981-10-13,4.996085869863798,"{""type"":""MultiPoint"",""coordinates"":[]}"
19811014,1981-10-14,6.253156291065604,"{""type"":""MultiPoint"",""coordinates"":[]}"
19811015,1981-10-15,2.8134444990026832,"{""type"":""MultiPoint"",""coordinates"":[]}"
